OBJECTID,DEPARTAMEN,PROVINCIA,DISTRITO,CAPITAL,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,GID_3
1108,LIMA,YAUYOS,QUINOCAY,QUINOCAY,428,0,428,100,0,0,424,0,424,100,0,0,3,0.7,3,0.7,0,0,0,0,100,23.36,38,8.96,54,0,46,0,1,1,69,23.36,3,0.7,33.33,3,0.7,33.33,PER.16.9.24_1
1109,LIMA,YAUYOS,QUINCHES,QUINCHES,609,0,609,100,0,0,881,0.01,881,100,0,0,23,3.78,2,0.33,0,0,0,0,182,29.89,55,6.24,90,0,92,0.01,7,1,123,29.89,23,3.78,30.43,2,0.33,50,PER.16.9.23_1
1110,JUNIN,HUANCAYO,COLCA,COLCA,1017,0,1017,100,0,0,962,0.01,962,100,0,0,677,66.57,0,0,0,0,0,0,256,25.17,55,5.72,119,0.01,137,0.01,136,0,18,25.17,677,66.57,20.09,0,0,0,PER.12.4.7_1
1111,LIMA,YAUYOS,ALIS,ALIS,1534,0.01,1534,100,0,0,252,0,252,100,0,0,413,26.92,0,0,0,0,0,0,77,5.02,16,6.35,40,0,37,0,24,0,31,5.02,413,26.92,5.81,0,0,0,PER.16.9.1_1
1112,LIMA,YAUYOS,HUAEC,HUAEC,432,0,432,100,0,0,378,0,378,100,0,0,37,8.56,0,0,0,0,0,0,161,37.27,72,19.05,90,0,71,0,24,0,116,37.27,37,8.56,64.86,0,0,0,PER.16.9.14_1
1113,LIMA,LIMA,PUNTA NEGRA,PUNTA NEGRA,7074,0.02,1,0.01,7073,99.99,3791,0.04,11,0.29,3780,99.71,0,0,0,0,760,10.75,214,0.03,1,100,1,9.09,1,0,0,0,0,0,1,100,760,10.74,0,214,3.03,0,PER.15.1.27_1
1114,HUANCAVELICA,TAYACAJA,QUISHUAR,QUISHUAR,731,0,731,100,0,0,395,0,395,100,0,0,516,70.59,0,0,0,0,0,0,488,66.76,150,37.97,242,0.01,246,0.01,338,0,29,66.76,516,70.59,65.5,0,0,0,PER.9.7.13_1
1115,LIMA,HUAROCHIRI,MARIATANA,MARIATANA,1357,0,1357,100,0,0,988,0.01,988,100,0,0,167,12.31,4,0.29,0,0,0,0,771,56.82,223,22.57,389,0.02,382,0.02,56,4,460,56.82,167,12.31,33.53,4,0.29,100,PER.16.6.12_1
1116,LIMA,YAUYOS,SAN JOAQUIN,SAN JOAQUIN,166,0,166,100,0,0,129,0,129,100,0,0,1,0.6,2,1.2,0,0,0,0,52,31.33,26,20.16,32,0,20,0,0,0,42,31.33,1,0.6,0,2,1.2,0,PER.16.9.25_1
1117,JUNIN,HUANCAYO,CULLHUAS,CULLHUAS,1335,0,1335,100,0,0,923,0.01,923,100,0,0,954,71.46,0,0,0,0,0,0,650,48.69,192,20.8,323,0.02,327,0.02,425,0,82,48.69,954,71.46,44.55,0,0,0,PER.12.4.8_1
1118,MADRE DE DIOS,MANU,MADRE DE DIOS,BOCA COLORADO,6217,0.02,3744,60.22,2473,39.78,2287,0.02,1426,62.35,861,37.65,1566,41.83,107,2.86,951,38.46,41,0.01,2961,79.09,864,60.59,1607,0.09,1354,0.07,1209,83,786,79.09,2517,40.49,77.2,148,2.38,77.57,PER.18.1.2_1
1119,CALLAO,CALLAO,LA PERLA,LA PERLA,61417,0.21,0,0,61417,100,18537,0.18,0,0,18537,100,0,0,0,0,2272,3.7,2946,0.43,0,0,0,0,0,0,0,0,0,0,0,0,2272,3.7,0,2946,4.8,0,
1120,LIMA,LIMA,SAN LUIS,SAN LUIS,52082,0.18,0,0,52082,100,15095,0.15,0,0,15095,100,0,0,0,0,5795,11.13,1102,0.16,0,0,0,0,0,0,0,0,0,0,0,0,5795,11.13,0,1102,2.12,0,PER.15.1.34_1
1121,LIMA,LIMA,SAN MIGUEL,SAN MIGUEL,155384,0.53,0,0,155384,100,52751,0.52,0,0,52751,100,0,0,0,0,8833,5.68,3995,0.58,0,0,0,0,0,0,0,0,0,0,0,0,8833,5.68,0,3995,2.57,0,PER.15.1.36_1
1122,CUSCO,ANTA,CHINCHAYPUJIO,CHINCHAYPUJIO,4026,0.01,4026,100,0,0,1588,0.02,1588,100,0,0,3071,76.28,0,0,0,0,0,0,1910,47.44,459,28.9,990,0.05,920,0.05,1339,0,7,47.44,3071,76.28,43.6,0,0,0,PER.8.2.4_1
1123,CUSCO,ANTA,PUCYURA,PUCYURA,2990,0.01,2990,100,0,0,1066,0.01,1066,100,0,0,1870,62.54,0,0,0,0,0,0,1370,45.82,262,24.58,698,0.04,672,0.04,836,0,131,45.82,1870,62.54,44.71,0,0,0,PER.8.2.8_1
1124,APURIMAC,ANDAHUAYLAS,ANDARAPA,ANDARAPA,5459,0.02,5459,100,0,0,2743,0.03,2743,100,0,0,4151,76.04,0,0,0,0,0,0,2436,44.62,564,20.56,1197,0.07,1239,0.07,1682,0,64,44.62,4151,76.04,40.52,0,0,0,PER.3.2.2_1
1125,CUSCO,ANTA,CACHIMAYO,CACHIMAYO,2382,0.01,2382,100,0,0,998,0.01,998,100,0,0,1457,61.17,0,0,0,0,0,0,675,28.34,147,14.73,329,0.02,346,0.02,357,0,161,28.34,1457,61.17,24.5,0,0,0,PER.8.2.3_1
1126,CUSCO,CALCA,SAN SALVADOR,SAN SALVADOR,5232,0.02,5232,100,0,0,2248,0.02,2248,100,0,0,3707,70.85,5,0.1,0,0,0,0,2575,49.22,531,23.62,1244,0.07,1331,0.07,1702,1,105,49.22,3707,70.85,45.91,5,0.1,20,PER.8.3.6_1
1127,PUNO,SANDIA,LIMBANI,LIMBANI,2970,0.01,2970,100,0,0,2273,0.02,2273,100,0,0,2258,76.03,0,0,0,0,0,0,2293,77.21,988,43.47,1278,0.07,1015,0.06,1835,0,24,77.21,2258,76.03,81.27,0,0,0,PER.22.13.3_1
1128,APURIMAC,CHINCHEROS,ONGOY,ONGOY,2344,0.01,2344,100,0,0,1324,0.01,1324,100,0,0,1672,71.33,0,0,0,0,0,0,999,42.62,218,16.47,544,0.03,455,0.03,643,0,30,42.62,1672,71.33,38.46,0,0,0,PER.3.5.6_1
1129,CUSCO,ANTA,MOLLEPATA,MOLLEPATA,3111,0.01,3111,100,0,0,1504,0.01,1504,100,0,0,1886,60.62,20,0.64,0,0,0,0,1338,43.01,367,24.4,686,0.04,652,0.04,790,5,182,43.01,1886,60.62,41.89,20,0.64,25,PER.8.2.7_1
1130,CUSCO,ANTA,LIMATAMBO,LIMATAMBO,7255,0.02,7255,100,0,0,2982,0.03,2982,100,0,0,5062,69.77,14,0.19,0,0,0,0,3024,41.68,656,22,1521,0.08,1503,0.08,1956,4,192,41.68,5062,69.77,38.64,14,0.19,28.57,PER.8.2.6_1
1131,CUSCO,CALCA,PISAC,PISAC,9884,0.03,5331,53.94,4553,46.06,3925,0.04,2291,58.37,1634,41.63,3950,74.09,14,0.26,3125,68.64,15,0,2677,50.22,593,25.88,1359,0.07,1318,0.07,1846,8,25,50.22,7075,71.58,46.73,29,0.29,57.14,PER.8.3.5_1
1132,HUANCAVELICA,CASTROVIRREYNA,TICRAPO,TICRAPO,1481,0.01,1481,100,0,0,1072,0.01,1072,100,0,0,104,7.02,6,0.41,0,0,0,0,560,37.81,164,15.3,286,0.02,274,0.02,20,2,392,37.81,104,7.02,19.23,6,0.41,33.33,PER.9.3.13_1
1133,CUSCO,ANTA,HUAROCONDO,HUAROCONDO,4533,0.02,2165,47.76,2368,52.24,2200,0.02,1134,51.55,1066,48.45,1463,67.58,0,0,1600,67.57,0,0,1108,51.18,298,26.28,557,0.03,551,0.03,658,0,171,51.18,3063,67.57,44.98,0,0,0,PER.8.2.5_1
1134,CUSCO,URUBAMBA,MARAS,MARAS,5946,0.02,5946,100,0,0,2976,0.03,2976,100,0,0,4495,75.6,0,0,0,0,0,0,2832,47.63,651,21.88,1384,0.08,1448,0.08,1937,0,48,47.63,4495,75.6,43.09,0,0,0,PER.8.13.4_1
1135,CUSCO,CALCA,LAMAY,LAMAY,5313,0.02,2413,45.42,2900,54.58,1826,0.02,900,49.29,926,50.71,1791,74.22,3,0.12,2015,69.48,1,0,1520,62.99,346,38.44,781,0.04,739,0.04,1058,3,3,62.99,3806,71.64,59.07,4,0.08,100,PER.8.3.3_1
1136,CUSCO,URUBAMBA,HUAYLLABAMBA,HUAYLLABAMBA,5499,0.02,3442,62.59,2057,37.41,2171,0.02,1370,63.1,801,36.9,2294,66.65,1,0.03,1500,72.92,2,0,1094,31.78,228,16.64,553,0.03,541,0.03,688,0,75,31.78,3794,68.99,29.99,3,0.05,0,PER.8.13.2_1
1137,ICA,CHINCHA,ALTO LARAN,ALTO LARAN,7783,0.03,2055,26.4,5728,73.6,3419,0.03,991,28.99,2428,71.01,97,4.72,144,7.01,707,12.34,448,0.07,1226,59.66,339,34.21,655,0.04,571,0.03,74,67,768,59.66,804,10.33,76.29,592,7.61,46.53,PER.11.1.1_1
1138,CUSCO,PAUCARTAMBO,COLQUEPATA,COLQUEPATA,8170,0.03,8170,100,0,0,3175,0.03,3175,100,0,0,5856,71.68,0,0,0,0,0,0,3676,44.99,779,24.54,1797,0.1,1879,0.1,2361,0,37,44.99,5856,71.68,40.32,0,0,0,PER.8.11.3_1
1139,CUSCO,URUBAMBA,YUCAY,YUCAY,3223,0.01,69,2.14,3154,97.86,777,0.01,22,2.83,755,97.17,45,65.22,0,0,1870,59.29,5,0,27,39.13,6,27.27,10,0,17,0,14,0,2,39.13,1915,59.42,31.11,5,0.16,0,PER.8.13.7_1
1140,LIMA,LIMA,VILLA EL SALVADOR,VILLA EL SALVADOR,393254,1.34,0,0,393254,100,93039,0.92,0,0,93039,100,0,0,0,0,62901,16,9860,1.43,0,0,0,0,0,0,0,0,0,0,0,0,62901,16,0,9860,2.51,0,PER.15.1.42_1
1141,LIMA,LIMA,PUNTA HERMOSA,PUNTA HERMOSA,15874,0.05,28,0.18,15846,99.82,9347,0.09,22,0.24,9325,99.76,3,10.71,0,0,3075,19.41,327,0.05,27,96.43,20,90.91,14,0,13,0,3,0,24,96.43,3078,19.39,100,327,2.06,0,PER.15.1.26_1
1142,CUSCO,QUISPICANCHI,MARCAPATA,MARCAPATA,4307,0.01,4307,100,0,0,2154,0.02,2154,100,0,0,2989,69.4,6,0.14,0,0,0,0,2966,68.86,831,38.58,1497,0.08,1469,0.08,2018,3,72,68.86,2989,69.4,67.51,6,0.14,50,PER.8.12.8_1
1143,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO,SAN PEDRO DE PALCO,927,0,927,100,0,0,900,0.01,900,100,0,0,375,40.45,1,0.11,0,0,0,0,414,44.66,135,15,226,0.01,188,0.01,168,1,152,44.66,375,40.45,44.8,1,0.11,100,PER.5.6.18_1
1144,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,SAN PEDRO DE LARCAY,808,0,808,100,0,0,575,0.01,575,100,0,0,586,72.52,0,0,0,0,0,0,337,41.71,84,14.61,167,0.01,170,0.01,211,0,2,41.71,586,72.52,36.01,0,0,0,PER.5.9.8_1
1145,AYACUCHO,SUCRE,HUACAA,HUACAA,374,0,374,100,0,0,321,0,321,100,0,0,243,64.97,0,0,0,0,0,0,116,31.02,37,11.53,59,0,57,0,56,0,34,31.02,243,64.97,23.05,0,0,0,PER.5.9.4_1
1146,AYACUCHO,SUCRE,PAICO,PAICO,553,0,553,100,0,0,626,0.01,626,100,0,0,433,78.3,1,0.18,0,0,0,0,134,24.23,41,6.55,66,0,68,0,94,0,1,24.23,433,78.3,21.71,1,0.18,0,PER.5.9.6_1
1147,AYACUCHO,HUANCA SANCOS,CARAPO,CARAPO,1826,0.01,1826,100,0,0,1735,0.02,1735,100,0,0,1307,71.58,0,0,0,0,0,0,481,26.34,143,8.24,227,0.01,254,0.01,321,0,30,26.34,1307,71.58,24.56,0,0,0,PER.5.3.1_1
1148,AYACUCHO,VILCAS HUAMAN,CARHUANCA,CARHUANCA,819,0,819,100,0,0,958,0.01,958,100,0,0,636,77.66,1,0.12,0,0,0,0,341,41.64,110,11.48,157,0.01,184,0.01,247,1,7,41.64,636,77.66,38.84,1,0.12,100,PER.5.11.2_1
1149,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,SANTIAGO DE LUCANAMARCA,2068,0.01,2068,100,0,0,1633,0.02,1633,100,0,0,1538,74.37,0,0,0,0,0,0,735,35.54,217,13.29,349,0.02,386,0.02,493,0,8,35.54,1538,74.37,32.05,0,0,0,PER.5.3.4_1
1150,AYACUCHO,VILCAS HUAMAN,HUAMBALPA,HUAMBALPA,1340,0,1340,100,0,0,1675,0.02,1675,100,0,0,1119,83.51,0,0,0,0,0,0,343,25.6,105,6.27,167,0.01,176,0.01,259,0,2,25.6,1119,83.51,23.15,0,0,0,PER.5.11.4_1
1151,AYACUCHO,VICTOR FAJARDO,CANARIA,CANARIA,3977,0.01,639,16.07,3338,83.93,1955,0.02,382,19.54,1573,80.46,449,70.27,0,0,2373,71.09,0,0,179,28.01,44,11.52,95,0.01,84,0,119,0,4,28.01,2822,70.96,26.5,0,0,0,PER.5.10.4_1
1152,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,SAN SALVADOR DE QUIJE,978,0,978,100,0,0,908,0.01,908,100,0,0,754,77.1,1,0.1,0,0,0,0,367,37.53,102,11.23,183,0.01,184,0.01,248,0,2,37.53,754,77.1,32.89,1,0.1,0,PER.5.9.9_1
1153,AYACUCHO,SUCRE,QUEROBAMBA,QUEROBAMBA,2570,0.01,301,11.71,2269,88.29,1631,0.02,506,31.02,1125,68.98,231,76.74,0,0,1538,67.78,1,0,144,47.84,48,9.49,71,0,73,0,98,0,9,47.84,1769,68.83,42.42,1,0.04,0,PER.5.9.7_1
1154,AYACUCHO,SUCRE,CHILCAYOC,CHILCAYOC,496,0,496,100,0,0,461,0,461,100,0,0,383,77.22,0,0,0,0,0,0,204,41.13,56,12.15,103,0.01,101,0.01,136,0,10,41.13,383,77.22,35.51,0,0,0,PER.5.9.3_1
1155,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA,PACCHA HUALLHUA /4,1105,0,1105,100,0,0,1239,0.01,1239,100,0,0,903,81.72,0,0,0,0,0,0,217,19.64,71,5.73,111,0.01,106,0.01,167,0,0,19.64,903,81.72,18.49,0,0,0,PER.5.11.5_1
1156,AYACUCHO,SUCRE,CHALCOS,CHALCOS,478,0,478,100,0,0,411,0,411,100,0,0,311,65.06,0,0,0,0,0,0,226,47.28,62,15.09,105,0.01,121,0.01,128,0,23,47.28,311,65.06,41.16,0,0,0,PER.5.9.2_1
1157,AYACUCHO,HUANCA SANCOS,SACSAMARCA,SACSAMARCA,1313,0,1313,100,0,0,1126,0.01,1126,100,0,0,1064,81.04,0,0,0,0,0,0,378,28.79,128,11.37,193,0.01,185,0.01,284,0,2,28.79,1064,81.04,26.69,0,0,0,PER.5.3.2_1
1158,AYACUCHO,VICTOR FAJARDO,HUALLA,SAN PEDRO DE HUALLA,2092,0.01,2092,100,0,0,1656,0.02,1656,100,0,0,1533,73.28,0,0,0,0,0,0,649,31.02,195,11.78,292,0.02,357,0.02,440,0,32,31.02,1533,73.28,28.7,0,0,0,
1159,AYACUCHO,HUANCA SANCOS,SANCOS,HUANCA SANCOS,3202,0.01,179,5.59,3023,94.41,1979,0.02,685,34.61,1294,65.39,153,85.47,0,0,2043,67.58,0,0,173,96.65,110,16.06,99,0.01,74,0,150,0,3,96.65,2196,68.58,98.04,0,0,0,PER.5.3.3_1
1160,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,CACHORA,2541,0.01,2541,100,0,0,1486,0.01,1486,100,0,0,1773,69.78,0,0,0,0,0,0,1190,46.83,308,20.73,583,0.03,607,0.03,757,0,88,46.83,1773,69.78,42.7,0,0,0,PER.3.1.8_1
1161,CUSCO,CALCA,TARAY,TARAY,4312,0.01,2280,52.88,2032,47.12,1782,0.02,1022,57.35,760,42.65,1745,76.54,0,0,1501,73.87,1,0,1327,58.2,317,31.02,624,0.03,703,0.04,963,0,18,58.2,3246,75.28,55.19,1,0.02,0,PER.8.3.7_1
1162,CUSCO,ANTA,ZURITE,ZURITE,3451,0.01,3451,100,0,0,1445,0.01,1445,100,0,0,2143,62.1,0,0,0,0,0,0,1264,36.63,253,17.51,615,0.03,649,0.04,726,0,223,36.63,2143,62.1,33.88,0,0,0,PER.8.2.9_1
1163,ICA,CHINCHA,TAMBO DE MORA,TAMBO DE MORA,5434,0.02,322,5.93,5112,94.07,1751,0.02,140,8,1611,92,8,2.48,6,1.86,93,1.82,624,0.09,221,68.63,58,41.43,112,0.01,109,0.01,6,2,160,68.63,101,1.86,75,630,11.59,33.33,PER.11.1.11_1
1164,APURIMAC,ANDAHUAYLAS,PACOBAMBA,PACOBAMBA,3452,0.01,3452,100,0,0,2146,0.02,2146,100,0,0,2312,66.98,0,0,0,0,0,0,1322,38.3,350,16.31,663,0.04,659,0.04,873,0,99,38.3,2312,66.98,37.76,0,0,0,PER.3.2.9_1
1165,ICA,CHINCHA,SUNAMPE,SUNAMPE,29079,0.1,559,1.92,28520,98.08,9321,0.09,216,2.32,9105,97.68,37,6.62,4,0.72,649,2.28,794,0.12,301,53.85,75,34.72,150,0.01,151,0.01,25,3,179,53.85,686,2.36,67.57,798,2.74,75,PER.11.1.10_1
1166,ICA,CHINCHA,EL CARMEN,EL CARMEN,12369,0.04,3917,31.67,8452,68.33,5012,0.05,2219,44.27,2793,55.73,188,4.8,306,7.81,710,8.4,1293,0.19,2887,73.7,752,33.89,1401,0.08,1486,0.08,137,180,1789,73.7,898,7.26,72.87,1599,12.93,58.82,PER.11.1.5_1
1167,CUSCO,ANTA,ANTA,ANTA,21674,0.07,10350,47.75,11324,52.25,8103,0.08,4733,58.41,3370,41.59,7812,75.48,0,0,6763,59.72,1,0,4345,41.98,934,19.73,2112,0.12,2233,0.12,2979,0,95,41.98,14575,67.25,38.13,1,0,0,PER.8.2.2_1
1168,CUSCO,ANTA,ANCAHUASI,ANCAHUASI,6784,0.02,3569,52.61,3215,47.39,2869,0.03,1486,51.8,1383,48.2,2312,64.78,0,0,1921,59.75,0,0,1682,47.13,385,25.91,839,0.05,843,0.05,964,0,242,47.13,4233,62.4,41.7,0,0,0,PER.8.2.1_1
1169,APURIMAC,ABANCAY,HUANIPACA,HUANIPACA,2886,0.01,2886,100,0,0,1785,0.02,1785,100,0,0,702,24.32,0,0,0,0,0,0,1249,43.28,386,21.62,642,0.04,607,0.03,263,0,633,43.28,702,24.32,37.46,0,0,0,PER.3.1.5_1
1170,APURIMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,6759,0.02,6759,100,0,0,3209,0.03,3209,100,0,0,4783,70.76,0,0,0,0,0,0,3184,47.11,711,22.16,1562,0.09,1622,0.09,2050,0,104,47.11,4783,70.76,42.86,0,0,0,PER.3.5.5_1
1171,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,CUSICANCHA,1358,0,1358,100,0,0,1136,0.01,1136,100,0,0,708,52.14,0,0,0,0,0,0,703,51.77,217,19.1,323,0.02,380,0.02,326,0,151,51.77,708,52.14,46.05,0,0,0,PER.9.6.10_1
1172,CUSCO,URUBAMBA,CHINCHERO,CHINCHERO,10477,0.04,6336,60.48,4141,39.52,4452,0.04,2818,63.3,1634,36.7,4873,76.91,0,0,2883,69.62,0,0,2679,42.28,543,19.27,1308,0.07,1371,0.08,1864,0,55,42.28,7756,74.03,38.25,0,0,0,PER.8.13.1_1
1173,PUNO,CARABAYA,SAN GABAN,LANLACUNI BAJO,6832,0.02,6832,100,0,0,1960,0.02,1960,100,0,0,4824,70.61,44,0.64,0,0,0,0,4885,71.5,1339,68.32,2837,0.15,2048,0.11,3531,31,288,71.5,4824,70.61,73.2,44,0.64,70.45,PER.22.2.9_1
1174,CUSCO,CALCA,COYA,COYA,3443,0.01,572,16.61,2871,83.39,1644,0.02,514,31.27,1130,68.73,459,80.24,0,0,2064,71.89,4,0,312,54.55,65,12.65,147,0.01,165,0.01,224,0,0,54.55,2523,73.28,48.8,4,0.12,0,PER.8.3.2_1
1175,ICA,PISCO,HUANCANO,HUANCANO,1379,0,1379,100,0,0,679,0.01,679,100,0,0,370,26.83,9,0.65,0,0,0,0,461,33.43,113,16.64,233,0.01,228,0.01,154,2,179,33.43,370,26.83,41.62,9,0.65,22.22,PER.11.5.1_1
1176,JUNIN,HUANCAYO,PUCARA,PUCARA,4748,0.02,1967,41.43,2781,58.57,2235,0.02,1183,52.93,1052,47.07,1321,67.16,0,0,1259,45.27,0,0,779,39.6,195,16.48,365,0.02,414,0.02,493,0,60,39.6,2580,54.34,37.32,0,0,0,PER.12.4.19_1
1177,HUANCAVELICA,ANGARAES,ANCHONGA,ANCHONGA,7115,0.02,7115,100,0,0,2691,0.03,2691,100,0,0,5045,70.91,0,0,0,0,0,0,3497,49.15,684,25.42,1740,0.09,1757,0.1,2390,0,36,49.15,5045,70.91,47.37,0,0,0,PER.9.2.1_1
1178,MADRE DE DIOS,MANU,HUEPETUHE,HUEPETUHE,8574,0.03,1942,22.65,6632,77.35,3515,0.03,559,15.9,2956,84.1,1204,62,2,0.1,3723,56.14,61,0.01,1367,70.39,406,72.63,901,0.05,466,0.03,806,1,275,70.39,4927,57.46,66.94,63,0.73,50,
1179,ICA,CHINCHA,PUEBLO NUEVO,PUEBLO NUEVO,62604,0.21,0,0,62604,100,20845,0.21,0,0,20845,100,0,0,0,0,7050,11.26,2902,0.42,0,0,0,0,0,0,0,0,0,0,0,0,7050,11.26,0,2902,4.64,0,PER.11.1.7_1
1180,HUANCAVELICA,CASTROVIRREYNA,HUACHOS,HUACHOS,919,0,919,100,0,0,884,0.01,884,100,0,0,587,63.87,3,0.33,0,0,0,0,566,61.59,209,23.64,279,0.02,287,0.02,359,0,63,61.59,587,63.87,61.16,3,0.33,0,PER.9.3.7_1
1181,PUNO,CARABAYA,AYAPATA,AYAPATA,9299,0.03,6677,71.8,2622,28.2,4183,0.04,3275,78.29,908,21.71,5493,82.27,5,0.07,1801,68.69,0,0,4913,73.58,2125,64.89,2816,0.15,2097,0.12,3969,3,127,73.58,7294,78.44,72.26,5,0.05,60,PER.22.2.2_1
1182,CUSCO,PAUCARTAMBO,PAUCARTAMBO,PAUCARTAMBO,11871,0.04,7881,66.39,3990,33.61,4701,0.05,3114,66.24,1587,33.76,5491,69.67,0,0,2618,65.61,6,0,4720,59.89,1120,35.97,2394,0.13,2326,0.13,3048,0,34,59.89,8109,68.31,55.51,6,0.05,0,PER.8.11.6_1
1183,CUSCO,URUBAMBA,OLLANTAYTAMBO,OLLANTAYTAMBO,10165,0.03,6633,65.25,3532,34.75,3579,0.04,2582,72.14,997,27.86,4716,71.1,3,0.05,1976,55.95,21,0,3488,52.59,815,31.56,1743,0.1,1745,0.1,2293,0,106,52.59,6692,65.83,48.62,24,0.24,0,PER.8.13.5_1
1184,CUSCO,URUBAMBA,MACHUPICCHU,MACHUPICCHU,5347,0.02,822,15.37,4525,84.63,1217,0.01,384,31.55,833,68.45,601,73.11,2,0.24,2666,58.92,26,0,287,34.91,83,21.61,139,0.01,148,0.01,201,0,13,34.91,3267,61.1,33.44,28,0.52,0,PER.8.13.3_1
1185,ICA,CHINCHA,SAN JUAN DE YANAC,SAN JUAN DE YANAC,1129,0,1129,100,0,0,560,0.01,560,100,0,0,157,13.91,4,0.35,0,0,0,0,928,82.2,389,69.46,468,0.03,460,0.03,105,3,625,82.2,157,13.91,66.88,4,0.35,75,PER.11.1.8_1
1186,CUSCO,QUISPICANCHI,CAMANTI,QUINCE MIL,2219,0.01,2219,100,0,0,714,0.01,714,100,0,0,680,30.64,19,0.86,0,0,0,0,918,41.37,206,28.85,461,0.03,457,0.03,275,10,354,41.37,680,30.64,40.44,19,0.86,52.63,PER.8.12.2_1
1187,LIMA,CA?ÊETE,SAN VICENTE DE CAETE,SAN VICENTE DE CAETE,54775,0.19,5606,10.23,49169,89.77,26452,0.26,2612,9.87,23840,90.13,914,16.3,96,1.71,6789,13.81,1699,0.25,3573,63.74,970,37.14,1753,0.1,1820,0.1,488,59,2201,63.74,7703,14.06,53.39,1795,3.28,61.46,PER.16.3.14_1
1188,HUANCAVELICA,CASTROVIRREYNA,TANTARA,TANTARA,648,0,648,100,0,0,507,0.01,507,100,0,0,150,23.15,11,1.7,0,0,0,0,271,41.82,76,14.99,136,0.01,135,0.01,69,6,121,41.82,150,23.15,46,11,1.7,54.55,PER.9.3.12_1
1189,CUSCO,PAUCARTAMBO,CHALLABAMBA,CHALLABAMBA,8433,0.03,8433,100,0,0,3335,0.03,3335,100,0,0,6031,71.52,0,0,0,0,0,0,5099,60.46,1280,38.38,2553,0.14,2546,0.14,3527,0,75,60.46,6031,71.52,58.48,0,0,0,PER.8.11.2_1
1190,LIMA,HUAROCHIRI,RICARDO PALMA,RICARDO PALMA,6542,0.02,290,4.43,6252,95.57,2074,0.02,184,8.87,1890,91.13,39,13.45,0,0,854,13.66,103,0.01,114,39.31,26,14.13,65,0,49,0,16,0,60,39.31,893,13.65,41.03,103,1.57,0,PER.16.6.14_1
1191,JUNIN,HUANCAYO,HUANCAYO,HUANCAYO,119993,0.41,1443,1.2,118550,98.8,38293,0.38,545,1.42,37748,98.58,615,42.62,0,0,37343,31.5,21,0,746,51.7,166,30.46,373,0.02,373,0.02,306,0,244,51.7,37958,31.63,49.76,21,0.02,0,PER.12.4.13_1
1192,JUNIN,CONCEPCION,MITO,MITO,1382,0,1382,100,0,0,652,0.01,652,100,0,0,226,16.35,0,0,0,0,0,0,441,31.91,105,16.1,208,0.01,233,0.01,81,0,244,31.91,226,16.35,35.84,0,0,0,PER.12.3.11_1
1193,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,39776,0.14,3508,8.82,36268,91.18,15834,0.16,1864,11.77,13970,88.23,2494,71.09,0,0,19745,54.44,2,0,2151,61.32,591,31.71,1053,0.06,1098,0.06,1489,0,74,61.32,22239,55.91,59.7,2,0.01,0,PER.9.5.6_1
1194,CUSCO,PAUCARTAMBO,KOSIPATA,PILLCOPATA,4403,0.01,4403,100,0,0,1717,0.02,1717,100,0,0,2416,54.87,8,0.18,0,0,0,0,4009,91.05,1162,67.68,2099,0.11,1910,0.11,2298,8,585,91.05,2416,54.87,95.12,8,0.18,100,PER.8.11.5_1
1195,HUANCAVELICA,HUANCAVELICA,MARISCAL CACERES,MARISCAL CACERES,509,0,509,100,0,0,302,0,302,100,0,0,305,59.92,3,0.59,0,0,0,0,168,33.01,36,11.92,84,0,84,0,99,0,14,33.01,305,59.92,32.46,3,0.59,0,PER.9.5.11_1
1196,LIMA,CA?ÊETE,COAYLLO,COAYLLO,1043,0,1043,100,0,0,1102,0.01,1102,100,0,0,51,4.89,8,0.77,0,0,0,0,332,31.83,114,10.34,167,0.01,165,0.01,5,1,226,31.83,51,4.89,9.8,8,0.77,12.5,PER.16.3.5_1
1197,HUANCAVELICA,HUANCAVELICA,MOYA,MOYA,982,0,982,100,0,0,973,0.01,973,100,0,0,648,65.99,0,0,0,0,0,0,327,33.3,104,10.69,149,0.01,178,0.01,217,0,36,33.3,648,65.99,33.49,0,0,0,PER.9.5.12_1
